2022-01-29 19:08:47 status unpacked python-pil:armhf 5.4.1-2+deb10u2
2022-01-29 19:08:47 status half-installed python-pil:armhf 5.4.1-2+deb10u2
2022-01-29 19:08:52 status unpacked python-pil:armhf 5.4.1-2+deb10u3
2022-01-29 19:08:53 upgrade python3-lxml:armhf 4.3.2-1+deb10u3 4.3.2-1+deb10u4
2022-01-29 19:08:53 status half-configured python3-lxml:armhf 4.3.2-1+deb10u3
2022-01-29 19:08:53 status unpacked python3-lxml:armhf 4.3.2-1+deb10u3
2022-01-29 19:08:53 status half-installed python3-lxml:armhf 4.3.2-1+deb10u3
2022-01-29 19:08:57 status unpacked python3-lxml:armhf 4.3.2-1+deb10u4
2022-01-29 19:09:09 upgrade python3-pil:armhf 5.4.1-2+deb10u2 5.4.1-2+deb10u3
2022-01-29 19:09:09 status half-configured python3-pil:armhf 5.4.1-2+deb10u2
2022-01-29 19:09:09 status unpacked python3-pil:armhf 5.4.1-2+deb10u2
2022-01-29 19:09:09 status half-installed python3-pil:armhf 5.4.1-2+deb10u2
2022-01-29 19:09:13 status unpacked python3-pil:armhf 5.4.1-2+deb10u3
2022-01-29 19:09:14 upgrade raspberrypi-net-mods:all 1.3.0 1.3.2
2022-01-29 19:09:14 status half-configured raspberrypi-net-mods:all 1.3.0
2022-01-29 19:09:14 status unpacked raspberrypi-net-mods:all 1.3.0
2022-01-29 19:09:15 status half-installed raspberrypi-net-mods:all 1.3.0
2022-01-29 19:09:15 status unpacked raspberrypi-net-mods:all 1.3.2
2022-01-29 19:09:16 upgrade rpi-eeprom:armhf 12.14-1 13.5-1~buster
2022-01-29 19:09:16 status half-configured rpi-eeprom:armhf 12.14-1
2022-01-29 19:09:16 status unpacked rpi-eeprom:armhf 12.14-1
2022-01-29 19:09:16 status half-installed rpi-eeprom:armhf 12.14-1
2022-01-29 19:09:47 status unpacked rpi-eeprom:armhf 13.5-1~buster
2022-01-29 19:09:47 upgrade rpi-eeprom-images:armhf 12.14-1 13.5-1~buster
2022-01-29 19:09:47 status half-configured rpi-eeprom-images:armhf 12.14-1
2022-01-29 19:09:47 status unpacked rpi-eeprom-images:armhf 12.14-1
2022-01-29 19:09:47 status half-installed rpi-eeprom-images:armhf 12.14-1
2022-01-29 19:09:47 status unpacked rpi-eeprom-images:armhf 13.5-1~buster
2022-01-29 19:09:47 upgrade xserver-common:all 2:1.20.4-1+rpt3+deb10u3 2:1.20.4-1+rpt4+deb10u4
2022-01-29 19:09:47 status half-configured xserver-common:all 2:1.20.4-1+rpt3+deb10u3
2022-01-29 19:09:47 status unpacked xserver-common:all 2:1.20.4-1+rpt3+deb10u3
2022-01-29 19:09:47 status half-installed xserver-common:all 2:1.20.4-1+rpt3+deb10u3
2022-01-29 19:09:50 status unpacked xserver-common:all 2:1.20.4-1+rpt4+deb10u4
2022-01-29 19:09:50 upgrade xserver-xorg-core:armhf 2:1.20.4-1+rpt3+deb10u3 2:1.20.4-1+rpt4+deb10u4
2022-01-29 19:09:50 status half-configured xserver-xorg-core:armhf 2:1.20.4-1+rpt3+deb10u3
2022-01-29 19:09:50 status unpacked xserver-xorg-core:armhf 2:1.20.4-1+rpt3+deb10u3
2022-01-29 19:09:50 status half-installed xserver-xorg-core:armhf 2:1.20.4-1+rpt3+deb10u3
2022-01-29 19:09:55 status unpacked xserver-xorg-core:armhf 2:1.20.4-1+rpt4+deb10u4
2022-01-29 19:09:55 startup packages configure
2022-01-29 19:09:55 configure libgs9-common:all 9.27~dfsg-2+deb10u5 <none>
